 All units in microns (um)
b#  slope      offset RMS
 1  1.0035914 -0.660  14
 2  1.0034205 -0.480   9
 3  1.0034760 -0.624  15
 4  1.0034732 -1.279 631
 5  1.0031546 -0.568  14
 6  1.0033660 -0.479   8
 7  1.0034484 -0.610  10
 8  1.0034771 -0.481  11
 9  1.0033431 -0.608   9
10  1.0033131 -0.489   9
11  1.0035193 -0.615  12
12  1.0034375 -0.501  10
13  1.0033070 -0.589   9
14  1.0034485 -0.490  10
15  1.0033952 -0.601   9
16  1.0033775 -0.489  11
17  1.0034289 -0.607  10
18  1.0034605 -0.512  11
19  1.0032522 -0.571   9
20  1.0032994 -0.482  10
21  1.0032557 -0.582  12
22  1.0034526 -0.533  14
23  1.0033877 -0.597   8
24  1.0033324 -0.475  12
25  1.0032814 -0.576   8
26  1.0033273 -0.547   8
27  1.0032045 -0.557  10
28  1.0033947 -0.509   7
29  1.0032971 -0.585   7
30  1.0033289 -0.521   9
31  1.0031835 -0.555  12
32  1.0033265 -0.504  12
33  1.0031341 -0.552  12
34  1.0033462 -0.518   9
35  1.0032941 -0.566   8
36  1.0033547 -0.508   9
37  1.0033592 -0.578  33
38  1.0031945 -0.496   8
39  1.0032059 -0.560   6
40  1.0032897 -0.514   8
41  1.0033053 -0.565   8
42  1.0033998 -0.513   9
43  1.0031072 -0.549  11
44  1.0032475 -0.508  15
45  1.0031592 -0.552   9
46  1.0033370 -0.515  11
47  1.0033971 -0.583   8
48  1.0034731 -0.522   8
49  1.0033061 -0.562   9
50  1.0034021 -0.489   9
51  1.0032343 -0.551   9
52  1.0032804 -0.506   7
53  1.0033323 -0.560  15
54  1.0034424 -0.508   6
55  1.0033884 -0.585   6
56  1.0034532 -0.534   8
57  1.0031488 -0.543   9
58  1.0032576 -0.501  11
59  1.0033888 -0.578  10
60  1.0034960 -0.521   8
61  1.0032749 -0.572  11
62  1.0034536 -0.540   7
63  1.0031802 -0.541  13
64  1.0033459 -0.515   8
65  1.0033681 -0.568  11
66  1.0034119 -0.512   9
67  1.0033289 -0.565  10
68  1.0034443 -0.536  11
69  1.0032215 -0.541   9
70  1.0033089 -0.499  11
71  1.0033897 -0.559  10
72  1.0036004 -0.563  11
73  1.0035422 -0.597   9
74  1.0033897 -0.504  10
75  1.0034307 -0.569  11
76  1.0033749 -0.489  11
77  1.0034252 -0.576   8
78  1.0034867 -0.499  13
79  1.0034281 -0.578  10
80  1.0037342 -0.558  11
81  1.0035678 -0.572   9
82  1.0036288 -0.480  14
83  1.0036247 -0.594  12
84  1.0037396 -0.550   9
85  1.0035085 -0.591  11
86  1.0037313 -0.550  12
87  1.0037036 -0.629  10
88  1.0038798 -0.554   9
89  1.0036899 -0.637   9
90  1.0039784 -0.575   9
91  1.0040225 -0.683  11
92  1.0041051 -0.590   9
       Mean RMS at Keck:  17 [um] 
   Mean RMS at Detector: 0.13 [pix] 
