#      xmm        ymm  xmm_prime   ymm_prime
#
-24.117300 120.654999 -13.509751 122.297829
  0.015240 120.650002  10.530520 120.189568
 24.145201 120.647003  34.568398 118.083511
 48.270199 120.641998  58.601158 115.975899
 72.402702 120.634995  82.641220 113.865631
-96.512398  96.522499 -87.732651 104.566811
-48.254902  96.517509 -39.659225 100.355919
-24.135099  96.527603 -15.630325  98.263802
  0.007620  96.519997   8.419862  96.152046
 24.142702  96.509804  32.462215  94.038383
 72.400200  96.509804  80.536079  89.832466
 96.535194  96.497101 104.578133  87.716309
-120.639999  72.402702 -113.870621  82.641655
-96.509804  72.395096 -89.832909  80.530998
-72.379807  72.395096 -65.794731  78.427925
-48.244804  72.395096 -41.751572  76.324425
-24.119801  72.395096 -17.718369  74.221794
  0.010160  72.395096   6.319769  72.118729
 24.145201  72.389709  30.362499  70.009857
 48.270199  72.389999  54.395721  67.907509
 72.402702  72.389999  78.436394  65.804222
 96.535194  72.374802 102.475731  63.685799
-120.647003  48.260002 -115.981766  58.591438
-96.507301  48.267601 -91.933266  56.495094
-72.377304  48.265102 -67.895309  54.389538
-48.252399  48.275200 -43.861328  52.296974
-24.119801  48.262501 -19.821663  50.181030
  0.012700  48.265102   4.219232  48.080334
 24.140202  48.267601  28.255140  45.979973
 48.270199  48.260002  52.292652  43.869335
 72.397606  48.262501  76.328468  41.768982
 96.517509  48.267601 100.357025  39.671875
120.659996  48.244804 124.405663  37.545010
-120.637001  24.142702 -118.073769  34.565041
-96.504799  24.142702 -94.033401  32.461777
-72.382401  24.135099 -70.003448  30.351799
-48.254902  24.137602 -45.967548  28.251442
-24.119801  24.137602 -21.924286  26.147930
  0.010160  24.130001   2.113189  24.037294
 24.137602  24.130001  26.148819  21.934448
 48.262501  24.119801  50.181030  19.821663
 72.402702  24.122402  74.229599  17.720299
 96.537804  24.124901  98.273071  15.619275
120.659996  24.122402 122.303253  13.514400
-120.637001   0.015240 -120.176613  10.529387
-96.514900   0.017780 -96.146088   8.429539
-72.377304   0.010160 -72.101006   6.318218
-48.247303   0.010160 -48.062824   4.215150
-24.124901   0.002540 -24.032877   2.105154
  0.000000   0.000000   0.000000   0.000000
 24.135099   0.002540  24.043480  -2.100982
 48.267601   0.005080  48.084373  -4.201737
 72.397606   0.002540  72.122337  -6.307336
 96.525093   0.000000  96.157791  -8.412715
120.659996   0.002540 120.201073 -10.513680
-120.639999 -24.122402 -122.283340 -13.516142
-96.507301 -24.119801 -98.242241 -15.616853
-72.389999 -24.127501 -74.217384 -17.726486
-48.260002 -24.122402 -50.178764 -19.824474
-24.124901 -24.130001 -26.136166 -21.935556
 -0.002540 -24.130001  -2.105598 -24.037958
 24.137602 -24.132502  21.942467 -26.144402
 48.265102 -24.132502  45.978153 -28.247250
 72.395096 -24.130001  70.016548 -30.347828
 96.519997 -24.119801  94.050529 -32.440289
120.654999 -24.130001 118.092804 -34.553955
-120.641998 -48.244804 -124.387733 -37.546577
-96.512398 -48.244804 -100.349953 -39.649609
-72.384903 -48.239700 -76.313828 -41.747375
-48.237099 -48.237099 -52.257683 -43.849403
-24.119801 -48.252399 -28.233490 -45.966606
  0.005080 -48.254902  -4.200631 -48.071720
 24.135099 -48.254902  19.837566 -50.174789
 48.267601 -48.254902  43.878239 -52.278076
 72.400200 -48.257500  67.918777 -54.383961
 96.525093 -48.254902  91.952103 -56.483994
120.650002 -48.265102 115.984314 -58.596779
-96.517509 -72.367104 -102.457436 -63.679672
-72.387512 -72.377304 -78.420158 -65.792908
-48.254902 -72.379807 -54.379593 -67.898689
-24.127501 -72.377304 -30.343784 -69.999039
  0.005080 -72.377304  -6.303036 -72.102333
 24.135099 -72.382401  17.734718 -74.210480
 48.265102 -72.389511  41.772278 -76.320633
 72.400200 -72.382401  65.816154 -78.417053
 96.527603 -72.379807  89.851974 -80.517311
120.658005 -72.384903 113.890106 -82.625496
-96.507301 -96.509804 -104.551445 -87.731392
-72.387512 -96.507301 -80.523224 -89.831070
-48.254902 -96.514900 -56.483105 -91.941948
-24.122402 -96.514900 -32.442436 -94.045227
  0.005080 -96.519997  -8.407210 -96.153152
 24.132502 -96.522499  15.628181 -98.258492
 48.267601 -96.512398  39.672321 -100.351936
 72.400200 -96.514900  63.712868 -102.457726
 96.517509 -96.517509  87.738174 -104.562286
-72.389999 -120.634995 -82.628563 -113.866737
-48.265102 -120.644997 -58.596344 -115.979324
-24.124901 -120.644997 -34.548000 -118.083282
 -0.002540 -120.647003 -10.517608 -120.187683
 24.124901 -120.641998  13.518456 -122.285545
 48.257500 -120.654999  37.558094 -124.401787
