-13.5215 121.858	935.570 1970.281
10.4347 119.769	1119.392 1954.955
34.3885 117.682	1303.244 1939.704
58.3372 115.594	1487.183 1924.638
82.2932 113.503	1671.254 1909.643
-87.473 104.154	368.583 1832.560
-39.5677 99.9813	736.566 1801.500
-15.6228 97.9083	920.352 1786.224
8.34323 95.8158	1104.211 1770.853
32.3015 93.7213	1287.770 1755.528
80.2072 89.5537	1655.440 1725.312
104.165 87.4567	1839.699 1710.349
-113.508 82.2936	169.193 1664.070
-89.5541 80.2022	353.528 1648.362
-65.6 78.1182	537.521 1632.959
-41.6409 76.0339	721.362 1617.630
-17.6918 73.9504	905.140 1602.387
6.26228 71.8665	1088.789 1587.111
30.2209 69.7768	1272.587 1571.790
54.1701 67.6936	1456.412 1556.578
78.1267 65.6095	1640.134 1541.468
102.082 63.5102	1824.076 1526.231
-115.6 58.3275	154.325 1480.026
-91.6353 56.2503	338.445 1464.534
-67.6814 54.1639	522.436 1449.282
-43.7315 52.0905	706.190 1433.905
-19.7759 49.9937	889.824 1418.631
4.18088 47.9122	1073.639 1403.358
28.1327 45.831	1257.392 1388.116
52.0862 43.7395	1441.101 1372.642
76.0379 41.6583	1624.872 1357.486
99.9824 39.5803	1808.708 1342.328
123.947 37.4727	1992.867 1327.194
-117.673 34.3852	139.173 1296.074
-93.7163 32.3011	323.284 1280.698
-69.7704 30.2103	507.138 1265.438
-45.8186 28.129	690.885 1250.196
-21.8594 26.0447	874.572 1234.912
2.094 23.9532	1058.398 1219.667
26.0456 21.8695	1242.111 1204.380
49.9937 19.7759	1425.774 1189.087
73.9582 17.6937	1609.621 1173.854
97.9176 15.6118	1793.329 1158.535
121.864 13.5261	1977.414 1143.339
-119.756 10.4336	123.930 1112.287
-95.8098 8.35288	308.102 1096.991
-71.8488 6.26074	491.853 1081.676
-47.8947 4.17682	675.557 1066.453
-23.9488 2.086	859.369 1051.209
0 0	1043.157 1035.876
23.9594 -2.08184	1226.847 1020.604
47.9162 -4.16345	1410.564 1005.310
71.8701 -6.24989	1594.272 990.029
95.8215 -8.33611	1778.057 974.726
119.781 -10.4179	1962.077 959.462
-121.844 -13.5278	108.590 928.529
-97.8869 -15.6094	292.640 913.291
-73.946 -17.6999	476.531 898.022
-49.9915 -19.7787	660.358 882.729
-26.033 -21.8706	844.072 867.426
-2.08644 -23.9539	1027.770 852.160
21.8775 -26.0412	1211.581 836.806
45.8291 -28.1249	1395.294 821.574
69.7835 -30.2063	1579.101 806.330
93.7334 -32.2796	1762.727 791.014
117.692 -34.3741	1946.822 775.626
-123.929 -37.4742	93.262 744.683
-99.9754 -39.5581	277.429 729.420
-76.0233 -41.6368	461.303 714.232
-52.0513 -43.7196	645.148 699.011
-28.1112 -45.8176	828.791 683.634
-4.16235 -47.9036	1012.531 668.395
19.7918 -49.9875	1196.413 653.241
43.7484 -52.0716	1379.997 637.569
67.7048 -54.1584	1563.734 622.545
91.6541 -56.2393	1747.542 607.260
115.602 -58.3329	1931.690 591.805
-102.064 -63.5041	261.992 545.600
-78.1105 -65.5982	445.940 530.489
-54.154 -67.6848	629.736 515.262
-30.2023 -69.766	813.490 499.950
-6.24561 -71.8502	997.269 484.569
17.7081 -73.9391	1180.990 469.542
41.6616 -76.0301	1364.865 454.427
65.6214 -78.1074	1548.483 438.864
89.5731 -80.1885	1732.444 423.366
113.527 -82.2775	1916.697 407.711
-104.139 -87.4717	246.317 361.686
-80.1944 -89.5523	430.428 346.580
-56.2384 -91.644	614.352 331.401
-32.2818 -93.7281	798.303 316.375
-8.33062 -95.8169	981.910 300.876
15.6207 -97.903	1165.711 285.553
39.5807 -99.9774	1349.456 270.363
63.5372 -102.064	1533.308 254.825
87.4785 -104.149	1717.431 239.281
-82.2806 -113.504	414.802 162.392
-58.3324 -115.597	598.905 147.337
-34.3682 -117.682	782.718 132.176
-10.4218 -119.767	966.546 116.827
13.5301 -121.846	1150.438 101.530
37.4857 -123.943	1334.374 86.188
