935.714 1970.250	-13.4619 121.865
1119.489 1955.000	10.4932 119.764
1303.305 1939.758	34.446 117.665
1487.281 1924.636	58.3937 115.565
1671.331 1909.599	82.3487 113.463
368.695 1832.694	-87.4221 104.197
736.710 1801.551	-39.5188 100.001
920.441 1786.210	-15.575 97.9159
1104.214 1770.969	8.39006 95.8117
1287.891 1755.621	32.3473 93.7055
1655.503 1725.181	80.251 89.5145
1839.772 1710.232	104.208 87.4058
169.224 1664.155	-113.468 82.3491
353.631 1648.416	-89.5149 80.2459
537.627 1633.040	-65.5618 78.1503
721.437 1617.689	-41.6038 76.0542
905.220 1602.378	-17.6556 73.959
1088.948 1587.078	6.2974 71.8634
1272.681 1571.826	30.255 69.762
1456.454 1556.521	54.2032 67.6671
1640.197 1541.356	78.1587 65.5713
1824.131 1526.139	102.113 63.4604
154.339 1480.083	-115.571 58.384
338.518 1464.602	-91.6078 56.2951
522.518 1449.288	-67.655 54.197
706.227 1434.005	-43.7061 52.1118
889.890 1418.705	-19.7515 50.0034
1073.696 1403.318	4.2043 47.9101
1257.432 1388.093	28.1551 45.8172
1441.120 1372.729	52.1075 43.714
1624.896 1357.397	76.0583 41.6211
1808.725 1342.187	100.002 39.5314
1992.896 1327.090	123.965 37.4121
139.185 1296.151	-117.656 34.4427
323.309 1280.801	-93.7005 32.3469
507.170 1265.469	-69.7556 30.2444
690.926 1250.202	-45.8048 28.1514
874.608 1234.981	-21.8467 26.0554
1058.426 1219.699	2.10571 23.9522
1242.131 1204.335	26.0563 21.8568
1425.832 1189.052	50.0034 19.7515
1609.617 1173.833	73.9668 17.6576
1793.325 1158.426	97.9252 15.564
1977.410 1143.193	121.87 13.4666
123.951 1112.342	-119.751 10.4921
308.110 1097.097	-95.8057 8.3997
491.864 1081.774	-71.8458 6.29585
675.597 1066.491	-47.8927 4.20023
859.383 1051.202	-23.9478 2.0977
1043.157 1035.932	0 0
1226.847 1020.625	23.9584 -2.09354
1410.555 1005.222	47.9142 -4.18686
1594.273 990.008	71.867 -6.28501
1778.049 974.667	95.8174 -8.38293
1962.056 959.314	119.776 -10.4765
108.608 928.657	-121.85 -13.4683
292.661 913.355	-97.8945 -15.5616
476.540 898.103	-73.9547 -17.6637
660.366 882.832	-50.0011 -19.7543
844.069 867.442	-26.0436 -21.8579
1027.800 852.144	-2.09814 -23.9529
1211.568 836.856	21.8648 -26.0519
1395.275 821.545	45.8154 -28.1473
1579.001 806.256	69.7687 -30.2404
1762.683 790.974	93.7176 -32.3255
1946.775 775.531	117.675 -34.4316
93.209 744.852	-123.947 -37.4137
277.407 729.531	-99.9947 -39.5092
461.272 714.286	-76.0437 -41.5996
645.076 699.088	-52.0727 -43.6942
828.755 683.711	-28.1335 -45.8039
1012.490 668.374	-4.18576 -47.9015
1196.232 653.153	19.7673 -49.9972
1379.947 637.779	43.7229 -52.093
1563.670 622.490	67.6783 -54.1914
1747.470 607.162	91.6266 -56.284
1931.630 591.724	115.574 -58.3893
261.935 545.748	-102.095 -63.4542
445.889 530.598	-78.1426 -65.56
629.707 515.289	-54.1871 -67.6583
813.455 500.013	-30.2364 -69.7512
997.185 484.669	-6.28072 -71.8471
1180.924 469.366	17.6719 -73.9478
1364.599 454.106	41.6244 -76.0505
1548.403 438.856	65.5832 -78.1395
1732.338 423.255	89.5339 -80.2323
1916.613 407.636	113.487 -82.333
246.229 361.820	-104.181 -87.4208
430.381 346.687	-80.2382 -89.5131
614.289 331.440	-56.2832 -91.6165
798.137 316.246	-32.3276 -93.7123
981.876 300.991	-8.37745 -95.8128
1165.644 285.574	15.5729 -97.9107
1349.345 270.285	39.5319 -99.9967
1533.189 254.824	63.4873 -102.095
1717.301 239.177	87.4276 -104.192
414.738 162.439	-82.3361 -113.464
598.836 147.330	-58.3889 -115.569
782.707 132.140	-34.4257 -117.665
966.506 116.902	-10.4804 -119.762
1150.303 101.523	13.4706 -121.853
1334.135 86.104	37.4251 -123.961
