-13.509751 122.297829 	936.683 1973.613
 10.530520 120.189568 	1120.463 1958.305
 34.568398 118.083511 	1304.267 1943.079
 58.601158 115.975899 	1488.243 1927.974
 82.641220 113.865631 	1672.299 1912.943
-87.732651 104.566811 	369.677 1836.012
-39.659225 100.355919 	737.698 1804.888
-15.630325  98.263802 	921.425 1789.580
  8.419862  96.152046 	1105.182 1774.271
 32.462215  94.038383 	1288.890 1758.959
 80.536079  89.832466 	1656.474 1728.554
104.578133  87.716309 	1840.763 1713.594
-113.870621  82.641655 	170.229 1667.512
-89.832909  80.530998 	354.612 1651.757
-65.794731  78.427925 	538.613 1636.362
-41.751572  76.324425 	722.415 1621.017
-17.718369  74.221794 	906.194 1605.741
  6.319769  72.118729 	1089.936 1590.391
 30.362499  70.009857 	1273.676 1575.132
 54.395721  67.907509 	1457.427 1559.870
 78.436394  65.804222 	1641.174 1544.723
102.475731  63.685799 	1825.110 1529.468
-115.981766  58.591438 	155.336 1483.435
-91.933266  56.495094 	339.500 1467.932
-67.895309  54.389538 	523.503 1452.660
-43.861328  52.296974 	707.194 1437.296
-19.821663  50.181030 	890.884 1422.028
  4.219232  48.080334 	1074.682 1406.688
 28.255140  45.979973 	1258.389 1391.420
 52.292652  43.869335 	1442.096 1376.050
 76.328468  41.768982 	1625.891 1360.761
100.357025  39.671875 	1809.719 1345.542
124.405663  37.545010 	1993.886 1330.404
-118.073769  34.565041 	140.171 1299.505
-94.033401  32.461777 	324.283 1284.116
-70.003448  30.351799 	508.143 1268.831
-45.967548  28.251442 	691.915 1253.557
-21.924286  26.147930 	875.599 1238.275
  2.113189  24.037294 	1059.395 1223.031
 26.148819  21.934448 	1243.110 1207.702
 50.181030  19.821663 	1426.831 1192.361
 74.229599  17.720299 	1610.600 1177.127
 98.273071  15.619275 	1794.294 1161.790
122.303253  13.514400 	1978.383 1146.556
-120.176613  10.529387 	124.941 1115.716
-96.146088   8.429539 	309.094 1100.413
-72.101006   6.318218 	492.861 1085.089
-48.062824   4.215150 	676.579 1069.849
-24.032877   2.105154 	860.346 1054.569
  0.000000   0.000000 	1044.130 1039.232
 24.043480  -2.100982 	1227.846 1023.966
 48.084373  -4.201737 	1411.536 1008.603
 72.122337  -6.307336 	1595.234 993.301
 96.157791  -8.412715 	1779.031 978.001
120.201073 -10.513680 	1963.039 962.683
-122.283340 -13.516142 	109.594 931.984
-98.242241 -15.616853 	293.642 916.722
-74.217384 -17.726486 	477.529 901.435
-50.178764 -19.824474 	661.330 886.129
-26.136166 -21.935556 	845.046 870.810
 -2.105598 -24.037958 	1028.799 855.480
 21.942467 -26.144402 	1212.549 840.144
 45.978153 -28.247250 	1396.245 824.902
 70.016548 -30.347828 	1579.985 809.618
 94.050529 -32.440289 	1763.682 794.263
118.092804 -34.553955 	1947.769 778.887
-124.387733 -37.546577 	94.185 748.168
-100.349953 -39.649609 	278.393 732.876
-76.313828 -41.747375 	462.251 717.657
-52.257683 -43.849403 	646.058 702.400
-28.233490 -45.966606 	829.752 687.041
 -4.200631 -48.071720 	1013.466 671.749
 19.837566 -50.174789 	1197.203 656.486
 43.878239 -52.278076 	1380.936 641.095
 67.918777 -54.383961 	1564.654 625.852
 91.952103 -56.483994 	1748.443 610.512
115.984314 -58.596779 	1932.615 595.046
-102.457436 -63.679672 	262.928 549.063
-78.420158 -65.792908 	446.887 533.942
-54.379593 -67.898689 	630.701 518.659
-30.343784 -69.999039 	814.429 503.316
 -6.303036 -72.102333 	998.156 488.005
 17.734718 -74.210480 	1181.914 472.734
 41.772278 -76.320633 	1365.588 457.438
 65.816154 -78.417053 	1549.364 442.146
 89.851974 -80.517311 	1733.307 426.624
113.890106 -82.625496 	1917.595 410.964
-104.551445 -87.731392 	247.208 365.134
-80.523224 -89.831070 	431.364 350.016
-56.483105 -91.941948 	615.266 334.800
-32.442436 -94.045227 	799.119 319.614
 -8.407210 -96.153152 	982.871 304.288
 15.628181 -98.258492 	1166.634 288.925
 39.672321 -100.351936 	1350.315 273.655
 63.712868 -102.457726 	1534.161 258.131
 87.738174 -104.562286 	1718.272 242.536
-82.628563 -113.866737 	415.728 165.789
-58.596344 -115.979324 	599.826 150.702
-34.548000 -118.083282 	783.690 135.488
-10.517608 -120.187683 	967.490 120.204
 13.518456 -122.285545 	1151.272 104.873
 37.558094 -124.401787 	1335.117 89.430
