936.683 1973.613	-13.509751 122.297829 
1120.463 1958.305	 10.530520 120.189568 
1304.267 1943.079	 34.568398 118.083511 
1488.243 1927.974	 58.601158 115.975899 
1672.299 1912.943	 82.641220 113.865631 
369.677 1836.012	-87.732651 104.566811 
737.698 1804.888	-39.659225 100.355919 
921.425 1789.580	-15.630325  98.263802 
1105.182 1774.271	  8.419862  96.152046 
1288.890 1758.959	 32.462215  94.038383 
1656.474 1728.554	 80.536079  89.832466 
1840.763 1713.594	104.578133  87.716309 
170.229 1667.512	-113.870621  82.641655 
354.612 1651.757	-89.832909  80.530998 
538.613 1636.362	-65.794731  78.427925 
722.415 1621.017	-41.751572  76.324425 
906.194 1605.741	-17.718369  74.221794 
1089.936 1590.391	  6.319769  72.118729 
1273.676 1575.132	 30.362499  70.009857 
1457.427 1559.870	 54.395721  67.907509 
1641.174 1544.723	 78.436394  65.804222 
1825.110 1529.468	102.475731  63.685799 
155.336 1483.435	-115.981766  58.591438 
339.500 1467.932	-91.933266  56.495094 
523.503 1452.660	-67.895309  54.389538 
707.194 1437.296	-43.861328  52.296974 
890.884 1422.028	-19.821663  50.181030 
1074.682 1406.688	  4.219232  48.080334 
1258.389 1391.420	 28.255140  45.979973 
1442.096 1376.050	 52.292652  43.869335 
1625.891 1360.761	 76.328468  41.768982 
1809.719 1345.542	100.357025  39.671875 
1993.886 1330.404	124.405663  37.545010 
140.171 1299.505	-118.073769  34.565041 
324.283 1284.116	-94.033401  32.461777 
508.143 1268.831	-70.003448  30.351799 
691.915 1253.557	-45.967548  28.251442 
875.599 1238.275	-21.924286  26.147930 
1059.395 1223.031	  2.113189  24.037294 
1243.110 1207.702	 26.148819  21.934448 
1426.831 1192.361	 50.181030  19.821663 
1610.600 1177.127	 74.229599  17.720299 
1794.294 1161.790	 98.273071  15.619275 
1978.383 1146.556	122.303253  13.514400 
124.941 1115.716	-120.176613  10.529387 
309.094 1100.413	-96.146088   8.429539 
492.861 1085.089	-72.101006   6.318218 
676.579 1069.849	-48.062824   4.215150 
860.346 1054.569	-24.032877   2.105154 
1044.130 1039.232	  0.000000   0.000000 
1227.846 1023.966	 24.043480  -2.100982 
1411.536 1008.603	 48.084373  -4.201737 
1595.234 993.301	 72.122337  -6.307336 
1779.031 978.001	 96.157791  -8.412715 
1963.039 962.683	120.201073 -10.513680 
109.594 931.984	-122.283340 -13.516142 
293.642 916.722	-98.242241 -15.616853 
477.529 901.435	-74.217384 -17.726486 
661.330 886.129	-50.178764 -19.824474 
845.046 870.810	-26.136166 -21.935556 
1028.799 855.480	 -2.105598 -24.037958 
1212.549 840.144	 21.942467 -26.144402 
1396.245 824.902	 45.978153 -28.247250 
1579.985 809.618	 70.016548 -30.347828 
1763.682 794.263	 94.050529 -32.440289 
1947.769 778.887	118.092804 -34.553955 
94.185 748.168	-124.387733 -37.546577 
278.393 732.876	-100.349953 -39.649609 
462.251 717.657	-76.313828 -41.747375 
646.058 702.400	-52.257683 -43.849403 
829.752 687.041	-28.233490 -45.966606 
1013.466 671.749	 -4.200631 -48.071720 
1197.203 656.486	 19.837566 -50.174789 
1380.936 641.095	 43.878239 -52.278076 
1564.654 625.852	 67.918777 -54.383961 
1748.443 610.512	 91.952103 -56.483994 
1932.615 595.046	115.984314 -58.596779 
262.928 549.063	-102.457436 -63.679672 
446.887 533.942	-78.420158 -65.792908 
630.701 518.659	-54.379593 -67.898689 
814.429 503.316	-30.343784 -69.999039 
998.156 488.005	 -6.303036 -72.102333 
1181.914 472.734	 17.734718 -74.210480 
1365.588 457.438	 41.772278 -76.320633 
1549.364 442.146	 65.816154 -78.417053 
1733.307 426.624	 89.851974 -80.517311 
1917.595 410.964	113.890106 -82.625496 
247.208 365.134	-104.551445 -87.731392 
431.364 350.016	-80.523224 -89.831070 
615.266 334.800	-56.483105 -91.941948 
799.119 319.614	-32.442436 -94.045227 
982.871 304.288	 -8.407210 -96.153152 
1166.634 288.925	 15.628181 -98.258492 
1350.315 273.655	 39.672321 -100.351936 
1534.161 258.131	 63.712868 -102.457726 
1718.272 242.536	 87.738174 -104.562286 
415.728 165.789	-82.628563 -113.866737 
599.826 150.702	-58.596344 -115.979324 
783.690 135.488	-34.548000 -118.083282 
967.490 120.204	-10.517608 -120.187683 
1151.272 104.873	 13.518456 -122.285545 
1335.117 89.430	 37.558094 -124.401787 
