935.570 1970.281	-13.4619 121.865
1119.392 1954.955	10.4932 119.764
1303.244 1939.704	34.446 117.665
1487.183 1924.638	58.3937 115.565
1671.254 1909.643	82.3487 113.463
368.583 1832.560	-87.4221 104.197
736.566 1801.500	-39.5188 100.001
920.352 1786.224	-15.575 97.9159
1104.211 1770.853	8.39006 95.8117
1287.770 1755.528	32.3473 93.7055
1655.440 1725.312	80.251 89.5145
1839.699 1710.349	104.208 87.4058
169.193 1664.070	-113.468 82.3491
353.528 1648.362	-89.5149 80.2459
537.521 1632.959	-65.5618 78.1503
721.362 1617.630	-41.6038 76.0542
905.140 1602.387	-17.6556 73.959
1088.789 1587.111	6.2974 71.8634
1272.587 1571.790	30.255 69.762
1456.412 1556.578	54.2032 67.6671
1640.134 1541.468	78.1587 65.5713
1824.076 1526.231	102.113 63.4604
154.325 1480.026	-115.571 58.384
338.445 1464.534	-91.6078 56.2951
522.436 1449.282	-67.655 54.197
706.190 1433.905	-43.7061 52.1118
889.824 1418.631	-19.7515 50.0034
1073.639 1403.358	4.2043 47.9101
1257.392 1388.116	28.1551 45.8172
1441.101 1372.642	52.1075 43.714
1624.872 1357.486	76.0583 41.6211
1808.708 1342.328	100.002 39.5314
1992.867 1327.194	123.965 37.4121
139.173 1296.074	-117.656 34.4427
323.284 1280.698	-93.7005 32.3469
507.138 1265.438	-69.7556 30.2444
690.885 1250.196	-45.8048 28.1514
874.572 1234.912	-21.8467 26.0554
1058.398 1219.667	2.10571 23.9522
1242.111 1204.380	26.0563 21.8568
1425.774 1189.087	50.0034 19.7515
1609.621 1173.854	73.9668 17.6576
1793.329 1158.535	97.9252 15.564
1977.414 1143.339	121.87 13.4666
123.930 1112.287	-119.751 10.4921
308.102 1096.991	-95.8057 8.3997
491.853 1081.676	-71.8458 6.29585
675.557 1066.453	-47.8927 4.20023
859.369 1051.209	-23.9478 2.0977
1043.157 1035.876	0 0
1226.847 1020.604	23.9584 -2.09354
1410.564 1005.310	47.9142 -4.18686
1594.272 990.029	71.867 -6.28501
1778.057 974.726	95.8174 -8.38293
1962.077 959.462	119.776 -10.4765
108.590 928.529	-121.85 -13.4683
292.640 913.291	-97.8945 -15.5616
476.531 898.022	-73.9547 -17.6637
660.358 882.729	-50.0011 -19.7543
844.072 867.426	-26.0436 -21.8579
1027.770 852.160	-2.09814 -23.9529
1211.581 836.806	21.8648 -26.0519
1395.294 821.574	45.8154 -28.1473
1579.101 806.330	69.7687 -30.2404
1762.727 791.014	93.7176 -32.3255
1946.822 775.626	117.675 -34.4316
93.262 744.683	-123.947 -37.4137
277.429 729.420	-99.9947 -39.5092
461.303 714.232	-76.0437 -41.5996
645.148 699.011	-52.0727 -43.6942
828.791 683.634	-28.1335 -45.8039
1012.531 668.395	-4.18576 -47.9015
1196.413 653.241	19.7673 -49.9972
1379.997 637.569	43.7229 -52.093
1563.734 622.545	67.6783 -54.1914
1747.542 607.260	91.6266 -56.284
1931.690 591.805	115.574 -58.3893
261.992 545.600	-102.095 -63.4542
445.940 530.489	-78.1426 -65.56
629.736 515.262	-54.1871 -67.6583
813.490 499.950	-30.2364 -69.7512
997.269 484.569	-6.28072 -71.8471
1180.990 469.542	17.6719 -73.9478
1364.865 454.427	41.6244 -76.0505
1548.483 438.864	65.5832 -78.1395
1732.444 423.366	89.5339 -80.2323
1916.697 407.711	113.487 -82.333
246.317 361.686	-104.181 -87.4208
430.428 346.580	-80.2382 -89.5131
614.352 331.401	-56.2832 -91.6165
798.303 316.375	-32.3276 -93.7123
981.910 300.876	-8.37745 -95.8128
1165.711 285.553	15.5729 -97.9107
1349.456 270.363	39.5319 -99.9967
1533.308 254.825	63.4873 -102.095
1717.431 239.281	87.4276 -104.192
414.802 162.392	-82.3361 -113.464
598.905 147.337	-58.3889 -115.569
782.718 132.176	-34.4257 -117.665
966.546 116.827	-10.4804 -119.762
1150.438 101.530	13.4706 -121.853
1334.374 86.188	37.4251 -123.961
