Spec   Row   Bar  Bar Center   Bar  Edge  Slit Center  Edge  FWHM  Offset
01  2038  1560.48  1563.26  1566.03  1561.25  1563.87  1566.48     2.61     0.61
02  1994  1063.13  1065.90  1068.67  1063.55  1066.14  1068.74     2.59     0.24
03  1950   565.77   568.54   571.31   565.94   568.45   570.95     2.50    -0.10
04  1906  1727.52  1730.30  1733.08  1728.30  1730.87  1733.44     2.57     0.57
05  1862  1396.07  1398.85  1401.63  1396.39  1398.85  1401.32     2.46    -0.00
06  1818   732.82   735.58   738.35   733.20   735.57   737.95     2.37    -0.01
07  1774   401.36   404.13   406.90   401.59   404.08   406.56     2.49    -0.05
08  1730  1563.12  1565.89  1568.67  1563.59  1566.02  1568.45     2.43     0.13
09  1686  1065.77  1068.53  1071.30  1066.20  1068.56  1070.92     2.36     0.03
10  1642   568.41   571.18   573.95   568.82   571.18   573.53     2.35     0.00
11  1598  1730.16  1732.93  1735.71  1730.53  1732.73  1734.94     2.21    -0.20
12  1554  1398.71  1401.49  1404.27  1398.91  1401.17  1403.43     2.26    -0.32
13  1510   735.45   738.21   740.98   735.80   738.08   740.36     2.28    -0.13
14  1466   404.00   406.77   409.54   404.44   406.76   409.07     2.32    -0.01
15  1422  1565.75  1568.53  1571.30  1566.10  1568.35  1570.60     2.25    -0.17
16  1378  1068.40  1071.17  1073.94  1068.99  1071.18  1073.38     2.20     0.01
17  1334   571.04   573.81   576.58   571.40   573.69   575.99     2.29    -0.12
18  1290  1732.79  1735.57  1738.34  1733.18  1735.40  1737.61     2.22    -0.17
19  1246  1401.34  1404.12  1406.90  1401.79  1404.05  1406.31     2.26    -0.07
20  1202   738.08   740.85   743.62   738.57   740.77   742.97     2.20    -0.08
21  1158   406.63   409.40   412.17   407.15   409.44   411.72     2.29     0.03
22  1114  1568.38  1571.16  1573.94  1568.87  1571.08  1573.29     2.21    -0.08
23  1070  1071.04  1073.80  1076.57  1071.68  1073.84  1076.00     2.16     0.04
24  1026   573.68   576.44   579.21   574.12   576.39   578.65     2.27    -0.06
25   982  1735.42  1738.20  1740.98  1735.82  1738.01  1740.19     2.18    -0.19
26   938  1403.98  1406.76  1409.54  1404.52  1406.67  1408.82     2.15    -0.09
27   894   740.72   743.49   746.26   741.31   743.51   745.71     2.20     0.03
28   850   409.27   412.04   414.81   409.81   412.03   414.25     2.22    -0.01
29   806  1571.02  1573.79  1576.57  1571.61  1573.75  1575.88     2.14    -0.05
30   762  1073.67  1076.44  1079.21  1074.27  1076.42  1078.56     2.15    -0.02
31   718   576.31   579.08   581.85   576.81   579.03   581.25     2.22    -0.05
32   674  1738.06  1740.84  1743.61  1738.52  1740.67  1742.82     2.15    -0.17
33   630  1406.61  1409.39  1412.17  1407.13  1409.29  1411.44     2.16    -0.10
34   586   743.35   746.12   748.89   743.94   746.07   748.21     2.14    -0.05
35   542   411.90   414.66   417.43   412.58   414.69   416.80     2.11     0.03
36   498  1573.65  1576.43  1579.20  1574.17  1576.37  1578.56     2.19    -0.06
37   454  1076.31  1079.07  1081.84  1076.93  1079.11  1081.30     2.19     0.04
38   410   578.94  1024.00  2076.37    10.00  1024.00  2038.00   500.00  1024.00
39   366  1740.69  1743.47  1746.25  1741.09  1743.38  1745.66     2.29    -0.09
40   322  1409.24  1412.02  1414.81  1409.77  1411.99  1414.20     2.21    -0.04
41   278   745.99   748.75   751.52   746.71   748.85   750.99     2.14     0.09
42   234   414.54   417.31   420.07   414.84   417.12   419.41     2.29    -0.18
43   190  1576.29  1579.06  1581.84  1576.94  1579.22  1581.51     2.29     0.16
44   146  1078.94  1081.71  1084.48  1079.46  1081.73  1084.00     2.27     0.02
45   102   581.58   584.35   587.12   581.50   583.92   586.33     2.41    -0.43
46    58  1743.33  1024.00  1748.88    10.00  1024.00  2038.00     0.01  1024.00
